t                        x
   2.2080441608832174e-04   5.5870192816650112e-16
   2.2140442808856175e-04   5.6310361819481750e-16
   2.2200444008880176e-04   5.6753262219030780e-16
   2.2260445208904177e-04   5.7198908402008154e-16
   2.2320446408928177e-04   5.7647314828914510e-16
   2.2380447608952178e-04   5.8098496034407926e-16
   2.2440448808976179e-04   5.8552466627673395e-16
   2.2500450009000177e-04   5.9009241292794112e-16
   2.2560451209024178e-04   5.9468834789124603e-16
   2.2620452409048179e-04   5.9931261951665565e-16
   2.2680453609072180e-04   6.0396537691440545e-16
   2.2740454809096181e-04   6.0864676995874536e-16
   2.2800456009120182e-04   6.1335694929174207e-16
   2.2860457209144180e-04   6.1809606632710134e-16
   2.2920458409168181e-04   6.2286427325400819e-16
   2.2980459609192182e-04   6.2766172304098514e-16
   2.3040460809216183e-04   6.3248856943977003e-16
   2.3100462009240184e-04   6.3734496698921139e-16
   2.3160463209264185e-04   6.4223107101918353e-16
   2.3220464409288185e-04   6.4714703765452031e-16
   2.3280465609312184e-04   6.5209302381896731e-16
   2.3340466809336185e-04   6.5706918723915357e-16
   2.3400468009360185e-04   6.6207568644858231e-16
   2.3460469209384186e-04   6.6711268079164087e-16
   2.3520470409408187e-04   6.7218033042763020e-16
   2.3580471609432188e-04   6.7727879633481305e-16
   2.3640472809456186e-04   6.8240824031448236e-16
   2.3700474009480187e-04   6.8756882499504917e-16
   2.3760475209504188e-04   6.9276071383614964e-16
   2.3820476409528189e-04   6.9798407113277242e-16
   2.3880477609552190e-04   7.0323906201940546e-16
   2.3940478809576191e-04   7.0852585247420351e-16
   2.4000480009600192e-04   7.1384460932317414e-16
   2.4060481209624190e-04   7.1919550024438581e-16
   2.4120482409648191e-04   7.2457869377219467e-16
   2.4180483609672192e-04   7.2999435930149222e-16
   2.4240484809696193e-04   7.3544266709197381e-16
   2.4300486009720194e-04   7.4092378827242649e-16
   2.4360487209744194e-04   7.4643789484503926e-16
   2.4420488409768193e-04   7.5198515968973154e-16
   2.4480489609792194e-04   7.5756575656850523e-16
   2.4540490809816194e-04   7.6317986012981538e-16
   2.4600492009840195e-04   7.6882764591296306e-16
   2.4660493209864196e-04   7.7450929035250907e-16
   2.4720494409888197e-04   7.8022497078270846e-16
